ID_Estadio,Nombre,Equipo,Division,Ciudad,Provincia,Capacidad,Inauguracion,Foto,Descripcion
1,Estadio José María Minella,,,Mar Del Plata,Buenos Aires,35180,21 de Mayo de 1978,estadio_jose_maria_minella.jpg,
2,Estadio Diego Armando Maradona,Argentinos Juniors,Liga Profesional,Ciudad Autónoma de Buenos Aires,Buenos Aires,22063,27 de Abril de 1940,estadio_diego_armando_maradona.jpg,
3,Estadio Monumental José Fierro,Atletico Tucuman,Liga Profesional,San Miguel de Tucumán,Tucumán,35000,21 de Mayo de 1922,estadio_jose_fierro.jpg,
4,Estadio Florencio Sola,Banfield,Liga Profesional,Banfield,Buenos Aires,34901,6 de Octubre de 1940,estadio_florencio_sola.jpg,
5,Estadio Claudio Chiqui Tapia,Barracas Central,Liga Profesional,Ciudad Autónoma de Buenos Aires,Buenos Aires,12000,1916,estadio_claudio_chiqui_tapia.jpg,
6,Estadio Julio Cesar Villagra,Belgrano,Liga Profesional,Cordoba,Cordoba,38500,17 de Marzo de 1929,estadio_cesar_villagra.jpg,
7,Estadio Alberto José Armando,Boca Juniors,Liga Profesional,Ciudad Autónoma de Buenos Aires,Buenos Aires,58840,18 de Febrero de 1938,Estadio_Alberto_José_Armando.jpg,
8,Estadio Tomás Adolfo Ducó,Huracan,Liga Profesional,Ciudad Autónoma de Buenos Aires,Buenos Aires,48.314,11 de Noviembre de 1949,estadio_tomas_adolfo_duco.jpg,
9,Estadio Único Madre de Ciudades,,,Santiago del Estero,Santiago del Estero,30000,4 de Marzo de 2021,estadio_madre_de_ciudades.jpg,
10,Estadio Norberto Tomaghello,Defensa y Justicia,Liga Profesional,Gobernador Costa,Buenos Aires,12000,23 de Febrero de 1978,estadio_norberto_tomaghello.jpg,
11,Estadio Guillermo Laza,Deportivo Riestra,Liga Profesional,Ciudad Autónoma de Buenos Aires,Buenos Aires,8740,20 de Febrero de 1993,estadio_guillermo_laza.jpg,
12,Estadio Jorge Luis Hirschi,Estudiantes LP,Liga Profesional,La Plata,Buenos Aires,32530,25 de Diciembre de 1907,estadio_jorge_luis_hirschi.jpg,
13,Estadio Juan Carmelo Zerillo,Gimnasia LP,Liga Profesional,La Plata,Buenos Aires,30973,26 de Abril de 1924,estadio_carmelo_zerillo.jpg,
14,Estadio Feliciano Gambarte,Godoy Cruz,Primera Nacional,Godoy Cruz,Mendoza,24000,3 de Octubre de 1959,estadio_feliciano_gambarte.jpg,
15,Estadio Bautista Gargantini,Independiente Rivadavia,Liga Profesional,Mendoza,Mendoza,24000,5 de Abril de 1925,estadio_bautista_gargantini.jpg,
16,Estadio Libertadores de America,Independiente,Liga Profesional,Avellaneda,Buenos Aires,48069,28 de Octubre de 2009,estadio_libertadores_america.jpg,
17,Estadio Monumental Presidente Peron,Instituto,Liga Profesional,Cordoba,Cordoba,26000,15 de Agosto de 1951,estadio_monumental_peron.jpg,
18,Estadio Ciudad de Lanus,Lanus,Liga Profesional,Remedios de Escalada,Buenos Aires,47090,24 de Febrero de 1929,estadio_lanus.jpg,
19,Estadio Marcelo Bielsa,Newells,Liga Profesional,Rosario,Santa Fe,48700,23 de Julio de 1911,estadio_marcelo_bielsa.jpg,
20,Estadio Ciudad de Vicente Lopez,Platense,Liga Profesional,Florida,Buenos Aires,28530,22 de Julio de 1979,estadio_vicente_lopez.jpg,
21,Estadio Presidente Peron,Racing Club,Liga Profesional,Avellaneda,Buenos Aires,55880,3 de Septiembre de 1950,estadio_racing.jpg,
22,Estadio Monumental,River Plate,Liga Profesional,Ciudad Autónoma de Buenos Aires,Buenos Aires,85018,26 de Mayo de 1938,estadio_monumental.jpg,
23,Estadio Gigante de Arroyito,Rosario Central,Liga Profesional,Rosario,Santa Fe,51000,14 de Noviembre de 1926,estadio_gigante_arroyito.jpg,
24,Estadio Pedro Bidegain,San Lorenzo,Liga Profesional,Ciudad Autónoma de Buenos Aires,Buenos Aires,47964,16 de Diciembre de 1993,estadio_bidegain.jpg,
25,Estadio Ingeniero Hilario Sanchez,San Martin SJ,Primera Nacional,San Juan,San Juan,19000,9 de Septiembre de 1951,estadio_hilario_sanchez.jpg,
26,Estadio Eva Peron,Sarmiento,Liga Profesional,Junin,Buenos Aires,23156,9 de Julio de 1951,estadio_eva_peron.jpg,
27,Estadio Mario Alberto Kempes,,,Cordoba,Cordoba,57000,16 de Mayo de 1978,estadio_kempes.jpg,
28,Estadio Jose Dellagiovanna,Tigre,Liga Profesional,Victoria,Buenos Aires,26282,29 de Diciembre de 1935,estadio_jose_dellagiovanna.jpg,
29,Estadio 15 de Abril,Union,Liga Profesional,Santa Fe,Santa Fe,27358,28 de Abril de 1929,estadio_15_de_abril.jpg,
30,Estadio José Amalfitani,Velez Sarsfield,Liga Profesional,Ciudad Autónoma de Buenos Aires,Buenos Aires,45540,22 de Abril de 1943,estadio_josé_amalfitani.jpg,
49,Estadio Islas Malvinas,All Boys,Primera Nacional,Ciudad Autónoma de Buenos Aires,Buenos Aires,21500,28 de Septiembre de 1963,estadio_islas_malvinas.jpg,
