ID_Estadio,Nombre,Equipo,Division,Ciudad,Provincia,Capacidad,Inauguracion,Foto,Descripcion
1,Estadio José María Minella,,,Mar Del Plata,Buenos Aires,35180,21 de Mayo de 1978,estadio_jose_maria_minella.jpg,
2,Estadio Diego Armando Maradona,Argentinos Juniors,Liga Profesional,Ciudad Autónoma de Buenos Aires,Buenos Aires,22063,27 de Abril de 1940,estadio_diego_armando_maradona.jpg,
3,Estadio Monumental José Fierro,Atletico Tucuman,Liga Profesional,San Miguel de Tucumán,Tucumán,35000,21 de Mayo de 1922,estadio_jose_fierro.jpg,
4,Estadio Florencio Sola,Banfield,Liga Profesional,Banfield,Buenos Aires,34901,6 de Octubre de 1940,estadio_florencio_sola.jpg,
5,Estadio Claudio Chiqui Tapia,Barracas Central,Liga Profesional,Ciudad Autónoma de Buenos Aires,Buenos Aires,12000,1916,estadio_claudio_chiqui_tapia.jpg,
7,Estadio Alberto José Armando,Boca Juniors,Liga Profesional,Ciudad Autónoma de Buenos Aires,Buenos Aires,58840,18 de Febrero de 1938,Estadio_Alberto_José_Armando.jpg,
8,Estadio Tomás Adolfo Ducó,Huracan,Liga Profesional,Ciudad Autónoma de Buenos Aires,Buenos Aires,48.314,11 de Noviembre de 1949,estadio_tomas_adolfo_duco.jpg,
9,Estadio Único Madre de Ciudades,,,Santiago del Estero,Santiago del Estero,30000,4 de Marzo de 2021,estadio_madre_de_ciudades.jpg,
10,Estadio Norberto Tomaghello,Defensa y Justicia,Liga Profesional,Gobernador Costa,Buenos Aires,12000,23 de Febrero de 1978,estadio_norberto_tomaghello.jpg,
11,Estadio Guillermo Laza,Deportivo Riestra,Liga Profesional,Ciudad Autónoma de Buenos Aires,Buenos Aires,8740,20 de Febrero de 1993,estadio_guillermo_laza.jpg,
12,Estadio Jorge Luis Hirschi,Estudiantes LP,Liga Profesional,La Plata,Buenos Aires,32530,25 de Diciembre de 1907,estadio_jorge_luis_hirschi.jpg,
13,Estadio Carmelo Zerillo,Gimnasia LP,Liga Profesional,La Plata,Buenos Aires,30973,26 de Abril de 1924,estadio_carmelo_zerillo.jpg,
19,Estadio Marcelo Bielsa,Newells,Liga Profesional,Rosario,Santa Fe,48700,23 de Julio de 1911,estadio_marcelo_bielsa.jpg,
30,Estadio José Amalfitani,Velez Sarsfield,Liga Profesional,Ciudad Autónoma de Buenos Aires,Buenos Aires,45540,22 de Abril de 1943,estadio_josé_amalfitani.jpg,
49,Estadio Islas Malvinas,All Boys,Primera Nacional,Ciudad Autónoma de Buenos Aires,Buenos Aires,21500,28 de Septiembre de 1963,estadio_islas_malvinas.jpg,
