ID_Temporada,Año,Competencia,Division,Campeon,Subcampeon,Ascensos,Descensos,Foto_Trofeo
1,2025,Copa De La Liga Apertura 2025,Primera Division,Platense,Huracan,,,apertura_2025.jpg
2,2025,Copa De La Liga Clausura 2025,Primera Division,Estudiantes LP,Racing Club,,Godoy Cruz;San Martin de San Juan,clausura_2025.jpg
3,2024,Copa De La Liga 2024,Primera Division,Estudiantes LP,Velez Sarsfield,,,copa_2024.jpg
4,2024,Liga Profesional 2024,Primera Division,Velez Sarsfield,Talleres,,,liga_2024.jpg
5,2023,Copa De La Liga 2023,Primera Division,Rosario Central,Platense,,Arsenal;Colon,copa_2023.jpg
6,2023,Liga Profesional 2023,Primera Division,River Plate,Talleres,,,liga_2023.jpg
7,2022,Copa De La Liga 2022,Primera Division,Boca Juniors,Tigre,,,copa_2022.jpg
8,2022,Liga Profesional 2022,Primera Division,Boca Juniors,Racing Club,,Aldosivi;Patronato,liga_2022.jpg
9,2021,Copa De La Liga 2021,Primera Division,Colon,Racing Club,,,copa_2021.jpg
10,2021,Liga Profesional 2021,Primera Division,River Plate,Defensa y Justicia,,,liga_2021.jpg
11,2020,Copa Diego Armando Maradona 2020,Primera Division,Boca Juniors,Banfield,,,copa_2020.jpg
12,2019/20,Superliga Argentina 2019/2020,Primera Division,Boca Juniors,River Plate,,,superliga_2020.jpg
13,2020,Copa De La Superliga 2020,,,,,,
14,2018/19,Superliga Argentina 2018/2019,Primera Division,Racing Club,Defensa y Justicia,,San Martin de Tucuman;Tigre;San Martin de San Juan;Belgrano,superliga_2019.jpg
15,2019,Copa De La Superliga 2019,Primera Division,Tigre,Boca Juniors,,,copa_2019.jpg
16,2017/18,Superliga Argentina 2017/2018,Primera Division,Boca Juniors,Godoy Cruz,,Arsenal;Chacarita Juniors;Temperley;Olimpo,superliga_2018.jpg
17,2016/17,Superliga Argentina 2016/2017,Primera Division,Boca Juniors,River Plate,,Aldosivi;Atletico Rafaela;Quilmes;Sarmiento,superliga_2017.jpg
18,2016,Torneo Transición 2016,Primera Division,Lanus,San Lorenzo,,Argentinos Juniors,transicion_2016.jpg
19,2015,Primera División 2015,Primera Division,Boca Juniors,San Lorenzo,,Crucero del Norte;Nueva Chicago,primera_2015.jpg
20,2014,Torneo Transición 2014,Primera Division,Racing Club,River Plate,,,
21,2014,Torneo Final 2014,Primera Division,River Plate,Boca Juniors,,Colon;All Boys;Argentinos Juniors,
22,2013,Torneo Inicial 2013,Primera Division,San Lorenzo,Lanus,,,
23,2013,Torneo Final 2013,Primera Division,Newells,River Plate,,San Martin de San Juan;Independiente;Union,
24,2012,Torneo Inicial 2012,Primera Division,Velez Sarsfield,Newells,,,
25,2012,Torneo Clausura 2012,Primera Division,Arsenal,Tigre,,Olimpo;Banfield,
26,2011,Torneo Apertura 2011,Primera Division,Boca Juniors,Racing Club,,,
27,2011,Torneo Clausura 2011,Primera Division,Velez Sarsfield,Lanus,,River Plate;Huracan;Gimnasia LP;Quilmes,
28,2010,Torneo Apertura 2010,Primera Division,Estudiantes LP,Velez Sarsfield,,,
29,2010,Torneo Clausura 2010,Primera Division,Argentinos Juniors,Estudiantes LP,,Atletico Tucuman;Chacarita Juniors;Rosario Central,
30,2009,Torneo Apertura 2009,Primera Division,Banfield,Newells,,,
31,2009,Torneo Clausura 2009,Primera Division,Velez Sarsfield,Huracan,,San Martin de Tucuman;Gimnasia de Jujuy,
32,2008,Torneo Apertura 2008,Primera Division,Boca Juniors,Tigre,,,
33,2008,Torneo Clausura 2008,Primera Division,River Plate,Boca Juniors,,Olimpo;San Martin de San Juan,
34,2007,Torneo Apertura 2007,Primera Division,Lanus,Tigre,,,
35,2007,Torneo Clausura 2007,Primera Division,San Lorenzo,Boca Juniors,,Quilmes;Godoy Cruz;Belgrano;Nueva Chicago,
36,2006,Torneo Apertura 2006,Primera Division,Estudiantes LP,Boca Juniors,,,
37,2006,Torneo Clausura 2006,Primera Division,Boca Juniors,Lanus,,Instituto;Tiro Federal;Olimpo,
38,2005,Torneo Apertura 2005,Primera Division,Boca Juniors,Gimnasia LP,,,
39,2005,Torneo Clausura 2005,Primera Division,Velez Sarsfield,Banfield,,Almagro;Huracan de Tres Arroyos;Instituto,
